cell_id,time_s,current_uA
I(02),60,50.3286
I(02),120,60.2335
I(02),180,69.6814
I(02),240,80.6661
I(02),300,90.5839
I(02),360,100.2919
I(02),420,110.8404
I(02),480,120.8551
I(02),540,130.9283
I(02),600,140.9233
I(02),660,151.232
I(02),720,160.82
I(02),780,171.1508
I(02),840,181.1244
I(02),900,191.6581
I(03),60,49.883
I(03),120,56.5505
I(03),180,63.6236
I(03),240,70.5929
I(03),300,77.3426
I(03),360,84.8337
I(03),420,91.582
I(03),480,96.958
I(03),540,104.1501
I(03),600,111.699
I(03),660,118.4633
I(03),720,125.5808
I(03),780,132.4455
I(03),840,140.0689
I(03),900,145.6402
I(04),60,50.8171
I(04),120,62.6303
I(04),180,75.0084
I(04),240,86.9091
I(04),300,98.827
I(04),360,111.9248
I(04),420,124.273
I(04),480,136.11
I(04),540,148.6993
I(04),600,161.3153
I(04),660,173.3378
I(04),720,186.048
I(04),780,198.497
I(04),840,210.8446
I(04),900,222.9995
I(05),60,50.3565
I(05),120,62.868
I(05),180,75.152
I(05),240,88.5116
I(05),300,100.7581
I(05),360,114.05
I(05),420,126.0092
I(05),480,139.5434
I(05),540,151.9092
I(05),600,164.1574
I(05),660,177.271
I(05),720,190.1579
I(05),780,202.985
I(05),840,215.2227
I(05),900,227.9123
I(06),60,49.8133
I(06),120,58.2246
I(06),180,66.5646
I(06),240,73.7316
I(06),300,82.6233
I(06),360,91.1418
I(06),420,98.6633
I(06),480,106.5883
I(06),540,115.3439
I(06),600,123.2748
I(06),660,131.6622
I(06),720,139.2961
I(06),780,146.9718
I(06),840,155.651
I(06),900,163.647
I(07),60,50.0775
I(07),120,57.1667
I(07),180,65.16
I(07),240,73.8106
I(07),300,81.548
I(07),360,88.839
I(07),420,96.9137
I(07),480,104.9114
I(07),540,112.7395
I(07),600,120.7217
I(07),660,128.2928
I(07),720,135.9713
I(07),780,143.7247
I(07),840,152.0695
I(07),900,158.5659
