TIME,I(02),I(03),I(04),I(05),I(06),I(07)
60,50.3286,49.883,50.8171,50.3565,49.8133,50.0775
120,60.2335,56.5505,62.6303,62.868,58.2246,57.1667
180,69.6814,63.6236,75.0084,75.152,66.5646,65.16
240,80.6661,70.5929,86.9091,88.5116,73.7316,73.8106
300,90.5839,77.3426,98.827,100.7581,82.6233,81.548
360,100.2919,84.8337,111.9248,114.05,91.1418,88.839
420,110.8404,91.582,124.273,126.0092,98.6633,96.9137
480,120.8551,96.958,136.11,139.5434,106.5883,104.9114
540,130.9283,104.1501,148.6993,151.9092,115.3439,112.7395
600,140.9233,111.699,161.3153,164.1574,123.2748,120.7217
660,151.232,118.4633,173.3378,177.271,131.6622,128.2928
720,160.82,125.5808,186.048,190.1579,139.2961,135.9713
780,171.1508,132.4455,198.497,202.985,146.9718,143.7247
840,181.1244,140.0689,210.8446,215.2227,155.651,152.0695
900,191.6581,145.6402,222.9995,227.9123,163.647,158.5659
